,r
O00327,0.5987011052958353
O00716,0.7297949474593237
O14593,0.13545273624842327
O43524,0.7744104422683113
O75030,0.6223720297341178
P01100,0.616491819462326
P01106,0.6291804059092093
P03372,0.6041610864323113
P04150,0.8299826613486941
P04637,0.6936436159085746
P05412,0.8131213025056455
P05549,0.03310892027901861
P06401,0.671433325287529
P08047,0.7372775342379881
P08651,0.6039889471971231
P10070,0.7435919012661053
P10242,0.34393788723825486
P10275,0.8283629853053593
P10276,0.6249332848798694
P10914,0.8259720512389405
P11308,0.69579292718167
P11473,0.8272211609162534
P11831,0.821511339920529
P14859,0.8051497689483852
P14921,0.7331199770610798
P15036,0.7553361187915474
P15336,0.7209663799276532
P15407,0.72669516980207
P15923,0.5737891743668369
P15976,0.8388273312205908
P16220,0.6717967231654328
P17535,0.5057657887596103
P17542,0.8253630734632127
P17676,0.7474202837920739
P17947,0.8977123856818507
P18146,0.7482072126153881
P18846,0.666738724229827
P18848,0.8760496653971442
P18850,0.6864987442583046
P19419,0.7431623852575109
P19544,0.7610629221198618
P19793,0.686303397048147
P19838,0.7923539257172172
P22415,0.4275729518404879
P23511,0.23233803153562285
P23769,0.8111578159949995
P23771,0.7323161657967261
P25490,0.6681126008250415
P26367,0.8217063807489178
P36956,0.7328593199377651
P37231,0.6059388148864144
P37275,0.55999862456913
P40763,0.8190038112182569
P41235,0.8524136974417191
P42224,0.7884958807726181
P42226,0.7834287440399851
P42229,0.7497390197649647
P48382,0.1377537291655207
P48431,0.7432351877141218
P48436,0.8038638072210655
P49715,0.7767620281487113
P49716,0.3660613179355986
P51692,0.7969918451284075
P52630,0.8140313769220764
P55317,0.636007976728087
P56693,0.5652335085301158
P58012,0.7750475864739259
P84022,0.4911954277693331
P98177,0.5502491132903691
Q00613,0.7129741495488152
Q00653,0.5102434660772744
Q00978,0.793278085768733
Q01094,0.818052369096393
Q01196,0.6931981081604919
Q01201,0.5782954672979237
Q01543,0.895268669358436
Q02447,0.24529516185937697
Q04206,0.7239635940617187
Q04864,0.6871368550772844
Q06710,0.7953770924124374
Q07869,0.5436564520556412
Q08050,0.8738398699181278
Q12772,0.09667476867282768
Q12778,0.8015580662780574
Q13127,0.8019502731638486
Q13469,0.748490760505883
Q13485,0.8111503845281957
Q13761,0.7812886678948702
Q14186,0.8619610627925242
Q14209,0.7327398994243792
Q14765,0.9114026224889199
Q15672,0.8435330903403094
Q16236,0.8956558696416257
Q16665,0.7692553008682971
Q92731,0.7150456865748436
Q99626,0.3158736491893814
Q99814,0.8192767009983201
Q9H3D4,0.5107487982103254
Q9NQB0,0.8155827208330091
Q9UJU2,0.8366266985471436
Q9Y261,0.8313876355573443
